current_colname,mod_colname,,,,,,,,
Q1,Consent,,,,,,,,
Q9,Gender,,,,,,,,
Q10,Major,,,,,,,,
Q11,Year,,,,,,,,
Q12,Ethnicity,,,,,,,,
Q12_11_TEXT,Ethnicity_description,,,,,,,,
Q13,GIS_familiarity,,,,,,,,
Q14,Number_of_Sustainability_Courses_Taken,,,,,,,,
Q15,Current_Sustainability_Course,,,,,,,,
Q16,Sustainability_related_Work,,,,,,,,
Q17,UN_SDGs,,,,,,,,
Q17.1,Section2Q1,,,,,,,,
Q21,Section2Q2,,,,,,,,
Q18,Section2Q3,,,,,,,,
Q29,Section2Q4,,,,,,,,
Q20,Section2Q5,,,,,,,,
Q23_1,Section3_StrategicThinkingi.,,,,,,,,
Q23_2,Section3_StrategicThinkingii.,,,,,,,,
Q23_3,Section3_StrategicThinkingiii.,,,,,,,,
Q23_4,Section3_SystemsThinkingi.,,,,,,,,
Q23_5,Section3_SystemsThinkingii.,,,,,,,,
Q23_6,Section3_SystemsThinkingiii.,,,,,,,,
Q23_7,Section3_FutureThinkingi.,,,,,,,,
Q23_8,Section3_FutureThinkingii.,,,,,,,,
Q23_9,Section3_FutureThinkingiii.,,,,,,,,
Q23_10,Section3_ValuesThinkingi.,,,,,,,,
Q23_11,Section3_ValuesThinkingii.,,,,,,,,
Q23_12,Section3_ValuesThinkingiii.,,,,,,,,
Q24,ObjQ1,,,,,,,,
Q25,ObjQ2,,,,,,,,